Team,Player,GP,AAG (Median),AAG (Mean),AAG% (Median),AAG% (Mean),REL (Median),REL (Mean),1.1 3/6,1.2 3/7,1.3 3/8,2.1 3/9,2.2 3/10,2.3 3/11,3.1 3/12,3.2 3/13,3.3 3/14,4.1 3/15,4.2 3/16,4.3 3/17,5.1 3/18,5.2 3/19,5.3 3/20,6.1 3/21,6.2 3/22,6.3 3/23,7.1 3/24,7.2 3/25,7.3 3/26,8.1 3/27,8.2 3/28,8.3 3/29,9.1 4/2,9.2 4/3,9.3 4/4,10.1 4/5,10.2 4/6,10.3 4/7,11.1 4/8,11.2 4/9,11.3 4/10,12.1 4/11,12.2 4/12,12.3 4/13,13.1 4/14,13.2 4/15,13.3 4/16,14.1 4/17,14.2 4/18,14.3 4/19,15.1 4/21,15.2 4/22,15.3 4/23
Gravediggers,@tw0 (@kyriereact) (Gravediggers),13,12,12,92%,92%,1.213,1.260,,,,,,,,6530,,,6682,,,6728,,,7179,,,3039,,10528,,,6609,,,8021,,,7725,,,6663,,,3430,,,3873,,,4693,,
Horses ,@cartercrash (Horses),5,3,3,60%,60%,1.064,1.089,,,,,,,,,,,,,,,,,,,,,,,,,,3388,,,3893,,,,,,6173,,,6718,,4265,,,,,
Horses ,@chris,15,10,10,67%,67%,1.118,1.145,,,13199,,,9207,,,8589,,,3752,,,10462,,,8229,,,1328,,,10356,,3702,,,4664,,,5633,,,3757,,,5267,,2161,,,5937,,
Horses ,@corsic,5,2,3,40%,60%,1.013,1.056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3334,,,5392,,,5612,,,,,3867,,,4741,,
Horses ,@herro,1,0,0,0%,0%,0.337,0.339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1857,,,,,,,
Horses ,@ice,10,7,8,70%,80%,1.112,1.133,,,12242,,,7539,,,8652,,,3711,,,9242,,,7623,,,3398,,,7588,,3815,,,,,,,,,,,,,,4196,,,,,
Horses ,@kinnick,15,10,12,67%,80%,1.103,1.129,,,13392,,,6675,,,7700,,,2431,,,9495,,,8433,,,3424,,,8363,,4551,,,3199,,,6071,,,6384,,,5378,,4025,,,5432,,
Horses ,@montolio,2,0,0,0%,0%,0.577,0.600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2304,,,1724,,
Horses ,@papacoop,14,7,8,50%,57%,1.040,1.065,,,14748,,,7240,,,6733,,,3517,,,9089,,,7618,,,2614,,,8643,,5145,,,3424,,,5331,,,2988,,,4455,,,,,4669,,
Horses ,@salty,13,4,6,31%,46%,0.937,0.958,,,9430,,,6420,,,6903,,,3714,,,8464,,,7651,,,2962,,,6120,,3938,,,,,,5523,,,3990,,,4228,,,,,4416,,
Horses ,@skibidinga,1,1,1,100%,100%,1.104,1.144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6162,,,,,,,,,,,,,
Horses ,@skinnover,1,1,1,100%,100%,1.183,1.258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4929,,,,,,,,,,,,,,,,
Horses ,@xo,8,3,3,38%,38%,0.931,0.950,,,8884,,,5429,,,7215,,,4168,,,7299,,,7380,,,3006,,,6671,,,,,,,,,,,,,,,,,,,,,
Otters,@crqmer,10,3,3,30%,30%,0.935,0.967,,,10759,,,,,,5185,,5897,,,3789,,,5273,,,,,,,,4961,,,7780,,,5917,,,,,,2283,,,,,,3482,,
Otters,@josephmazzulla,4,0,0,0%,0%,0.760,0.777,,,,,,,,,,,3880,,,2682,,,,,,2672,,,,,4138,,,,,,,,,,,,,,,,,,,,
Otters,@lukamodric,15,8,8,53%,53%,0.991,1.021,,,9075,,,3849,,,6431,,3810,,,5141,,,7713,,,3096,,,7045,,6499,,,5959,,,7265,,,5003,,,2247,,,3123,,,3988,,
Otters,@maxp (Otters),7,5,4,71%,57%,1.041,1.066,,,9901,,,4570,,,8286,,5040,,,5415,,,7798,,,2142,,,,,,,,,,,,,,,,,,,,,,,,,
Otters,@member98674 (@erndog) (Otters),7,4,5,57%,71%,1.087,1.127,,,,,,,,,,,,,,,,,,,,,,,6325,,,,,9360,,,5427,,,4970,,,2464,,,4034,,,4510,,
Otters,@notkiddo,12,9,9,75%,75%,1.046,1.078,,,11845,,,4670,,,8066,,5058,,,4880,,,7142,,,2915,,,6907,,4116,,,7489,,,7599,,,,,,,,,,,,3121,,
Otters,@novo,7,3,3,43%,43%,0.951,0.981,,,11092,,,,,,8400,,,,,,,,5875,,,,,,5368,,,,,5678,,,,,,3498,,,,,,3533,,,,,
Otters,@panarin,4,2,2,50%,50%,0.973,0.975,,,,,,3548,,,,,,,,,,,,,,,,,,,4407,,,,,,,,,,,,2833,,,4519,,,,,
Otters,@psyklone,11,8,8,73%,73%,1.074,1.104,,,,,,5242,,,,,,,,5479,,,,,,4136,,,5339,,5420,,,6630,,,8116,,,5746,,,3101,,,2817,,,3800,,
Otters,@therealbenshelton,1,0,0,0%,0%,0.462,0.480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2148,,,,,,,,,,,
Otters,@trickyy,12,3,7,25%,58%,0.922,0.954,,,11261,,,3830,,,7337,,2412,,,,,,5131,,,2826,,,5097,,,,,,,,7586,,,4736,,,1904,,,3154,,,3722,,
Demons,@bruins,12,10,11,83%,92%,1.110,1.140,,,12157,,,5278,,,8975,,,2725,,,,,,7655,,,2931,,6880,,,,,,,,,5970,,,7411,,3212,,,3386,,,4419,,
Demons,@cyl (Demons),1,0,0,0%,0%,0.889,0.913,,,9461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Demons,@dawgsnation (Demons),2,0,1,0%,50%,0.885,0.923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4058,,,,,,,,,,,2457,,,,,
Demons,@dugz (Demons),4,4,4,100%,100%,1.135,1.186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4384,,,,,,6569,,,,,4069,,,4352,,
Demons,@four,10,8,8,80%,80%,1.131,1.158,,,12132,,,5711,,,8278,,,2918,,,9312,,,,,,3656,,7660,,,4621,,,,,,,,,,,2502,,,,,,4999,,
Demons,@jjettaz,3,2,2,67%,67%,1.056,1.100,,,,,,,,,6851,,,,,,,,,,,,,,,,,5434,,,4693,,,,,,,,,,,,,,,,
Demons,@joshminottenjoyer (Demons),6,2,2,33%,33%,0.934,0.948,,,9700,,,3148,,,,,,4051,,,9062,,,6924,,,2185,,,,,,,,,,,,,,,,,,,,,,,,
Demons,@nick_ (@virgil),9,7,7,78%,78%,1.084,1.122,,,,,,,,,8136,,,,,,11546,,,7699,,,,,7251,,,5112,,,3825,,,5989,,,6506,,1621,,,,,,,,
Demons,@o3wn,14,6,8,43%,57%,1.003,1.028,,,10924,,,4341,,,8110,,,2659,,,8717,,,7312,,,2596,,,,,4264,,,3426,,,6322,,,6329,,3444,,,2689,,,3740,,
Demons,@otf,12,8,8,67%,67%,1.036,1.060,,,9481,,,4086,,,,,,3784,,,10474,,,8108,,,3383,,7070,,,3967,,,,,,5835,,,4876,,,,,3581,,,4504,,
Demons,@sammy (@sammybammy) (Demons),1,0,0,0%,0%,0.752,0.787,,,,,,,,,,,,,,,,,,,,,,,4890,,,,,,,,,,,,,,,,,,,,,,
Demons,@tatum (Demons),2,0,0,0%,0%,0.810,0.832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5094,,,,,1507,,,,,,,,
Demons,@tralogik,14,12,12,86%,86%,1.148,1.180,,,,,,5846,,,5324,,,4096,,,10937,,,9403,,,3591,,6878,,,5416,,,5025,,,4405,,,7558,,3266,,,3799,,,5467,,
Flags,@bengalsw (Flags),3,1,1,33%,33%,0.659,0.682,,,,,,,,,,,,3171,,2151,,,,,,,,,4274,,,,,,,,,,,,,,,,,,,,,,
Flags,@bent,5,3,3,60%,60%,1.004,1.055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8330,,,5766,,,2867,,,3101,,,990,,
Flags,@bigsnook (Flags),5,3,3,60%,60%,1.020,1.043,,,8828,,,3879,,,10499,,,3144,,5267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flags,@burning (Flags),7,0,0,0%,0%,0.705,0.721,,,,,,,,,,,,964,,3062,,,4793,,,2141,,,4765,,,2619,,6063,,,,,,,,,,,,,,,,,
Flags,@chltown (Flags),2,1,1,50%,50%,0.891,0.906,,,,,,6008,,,4954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flags,@ejwise (Flags),2,0,0,0%,0%,0.954,0.958,,,10147,,,4361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flags,@gradyt06 (Flags),2,1,1,50%,50%,1.033,1.050,,,,,,4245,,,8461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flags,@j417 (Flags),10,1,1,10%,10%,0.766,0.795,,,,,,,,,5544,,,2988,,4984,,,5660,,,1737,,,4888,,,3143,,5181,,,4394,,,,,,,,,,,,1990,,
Flags,@jayson,3,0,0,0%,0%,0.557,0.573,,,7030,,,,,,,,,2847,,550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flags,@kanginator,4,1,1,25%,25%,0.903,0.948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7610,,,3361,,,2038,,,2516,,,,,
Flags,@liljon (@jaccags),12,3,4,25%,33%,0.924,0.957,,,8649,,,,,,6879,,,,,,,,5490,,,2833,,,5911,,,4996,,7815,,,7224,,,3272,,,2508,,,2468,,,2856,,
Flags,@nael_abuasi (Flags),6,0,0,0%,0%,0.657,0.682,,,,,,,,,,,,,,,,,5633,,,-35,,,,,,,,,,,,,,3998,,,2436,,,2829,,,536,,
Flags,@palmer (Flags),5,2,2,40%,40%,1.008,1.024,,,,,,,,,,,,2919,,3942,,,,,,,,,6010,,,5025,,7701,,,,,,,,,,,,,,,,,
Flags,@realnuggets (Flags),6,1,1,17%,17%,0.664,0.681,,,,,,,,,,,,,,,,,,,,,,,,,,3128,,7524,,,5522,,,2417,,,10,,,0,,,,,
Flags,@relaxedp (Flags),3,1,1,33%,33%,0.995,1.016,,,9738,,,3647,,,9436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flags,@shzckers,2,0,0,0%,0%,0.501,0.541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2455,,,,,,,,,,,,2836,,
Flags,@tw0 (@kyriereact) (Flags),2,1,1,50%,50%,1.037,1.042,,,11394,,,4384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flags,@tylrr (Flags),9,1,1,11%,11%,0.826,0.847,,,,,,,,,,,,,,,,,4788,,,3072,,,5736,,,4142,,5933,,,,,,4161,,,1991,,,1899,,,1954,,
